Weight: 61 | Time now: 1.114954 |End 
Weight: 61 | Time now: 1.664954 |End 
Weight: 61 | Time now: 2.214954 |End 
Weight: 61 | Time now: 3.814954 |End 
Weight: 61 | Time now: 5.664954 |End 
Weight: 61 | Time now: 6.214954 |End 
Weight: 61 | Time now: 6.790500 |End 
Weight: 61 | Time now: 7.314954 |End 
Weight: 61 | Time now: 7.864954 |End 
Weight: 61 | Time now: 8.414954 |End 
Weight: 61 | Time now: 8.964954 |End 
Weight: 61 | Time now: 9.514954 |End 
Weight: 61 | Time now: 11.114954 |End 
Weight: 61 | Time now: 11.664954 |End 
Weight: 61 | Time now: 13.264954 |End 
Weight: 61 | Time now: 13.814954 |End 
Weight: 61 | Time now: 14.364954 |End 
Weight: 61 | Time now: 14.914954 |End 
Weight: 61 | Time now: 15.464954 |End 
Weight: 61 | Time now: 16.014954 |End 
Weight: 61 | Time now: 17.914954 |End 
Weight: 61 | Time now: 18.464954 |End 
Weight: 61 | Time now: 19.014954 |End 
Weight: 61 | Time now: 19.564954 |End 
Weight: 61 | Time now: 20.114954 |End 
Weight: 61 | Time now: 20.664954 |End 
Weight: 61 | Time now: 21.214954 |End 
Weight: 61 | Time now: 21.764954 |End 
Weight: 61 | Time now: 22.314954 |End 
Weight: 61 | Time now: 24.464954 |End 
Weight: 61 | Time now: 25.014954 |End 
Weight: 61 | Time now: 25.564954 |End 
Weight: 61 | Time now: 26.114954 |End 
Weight: 61 | Time now: 26.664954 |End 
Weight: 61 | Time now: 27.214954 |End 
Weight: 61 | Time now: 27.764954 |End 
Weight: 61 | Time now: 28.314954 |End 
Weight: 61 | Time now: 28.864954 |End 
Weight: 61 | Time now: 29.414954 |End 
Weight: 61 | Time now: 29.964954 |End 
Weight: 61 | Time now: 30.514954 |End 
Weight: 61 | Time now: 31.064954 |End 
Weight: 61 | Time now: 31.614954 |End 
Weight: 61 | Time now: 32.164954 |End 
Weight: 61 | Time now: 32.714954 |End 
Weight: 61 | Time now: 33.264954 |End 
Weight: 61 | Time now: 33.814954 |End 
Weight: 61 | Time now: 34.364954 |End 
Weight: 61 | Time now: 34.914954 |End 
Weight: 61 | Time now: 35.464954 |End 
Weight: 61 | Time now: 36.014954 |End 
Weight: 61 | Time now: 36.564954 |End 
Weight: 61 | Time now: 37.114954 |End 
Weight: 61 | Time now: 37.664954 |End 
Weight: 61 | Time now: 38.214954 |End 
Weight: 61 | Time now: 38.764954 |End 
Weight: 61 | Time now: 39.314954 |End 
Weight: 61 | Time now: 39.864954 |End 
Weight: 61 | Time now: 40.414954 |End 
Weight: 61 | Time now: 40.964954 |End 
Weight: 61 | Time now: 41.514954 |End 
Weight: 61 | Time now: 42.064954 |End 
Weight: 61 | Time now: 42.614954 |End 
Weight: 61 | Time now: 43.164954 |End 
Weight: 61 | Time now: 43.714954 |End 
Weight: 61 | Time now: 44.264954 |End 
Weight: 61 | Time now: 44.814954 |End 
Weight: 61 | Time now: 45.364954 |End 
Weight: 61 | Time now: 45.914954 |End 
Weight: 61 | Time now: 46.464954 |End 
Weight: 61 | Time now: 47.014954 |End 
Weight: 61 | Time now: 47.564954 |End 
Weight: 61 | Time now: 48.114954 |End 
Weight: 61 | Time now: 48.664954 |End 
Weight: 61 | Time now: 49.214954 |End 
Weight: 61 | Time now: 49.764954 |End 
Weight: 61 | Time now: 50.314954 |End 
Weight: 61 | Time now: 50.864954 |End 
Weight: 61 | Time now: 51.414954 |End 
Weight: 61 | Time now: 51.964954 |End 
Weight: 61 | Time now: 52.514954 |End 
Weight: 61 | Time now: 54.664954 |End 
Weight: 61 | Time now: 55.214954 |End 
Weight: 61 | Time now: 55.764954 |End 
Weight: 61 | Time now: 56.314954 |End 
Weight: 61 | Time now: 56.864954 |End 
Weight: 61 | Time now: 57.414954 |End 
Weight: 61 | Time now: 57.964954 |End 
Weight: 61 | Time now: 58.514954 |End 
Weight: 61 | Time now: 59.064954 |End 
Weight: 61 | Time now: 60.664954 |End 
Weight: 61 | Time now: 61.214954 |End 
Weight: 61 | Time now: 61.764954 |End 
Weight: 61 | Time now: 62.314954 |End 
