Source: /app/node2/item-22086 | Message ID: 86 | Time generated: 85.100000 | Time sentFromSrcR: 86.319847 | Time receivedFromSrcR: 86.333977 |End 
Source: /app/node2/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 86.319847 | Time receivedFromSrcR: 86.430857 |End 
Source: /app/node2/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 87.919847 | Time receivedFromSrcR: 88.017017 |End 
Source: /app/node2/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 89.519847 | Time receivedFromSrcR: 89.589337 |End 
Source: /app/node2/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 89.519847 | Time receivedFromSrcR: 89.630857 |End 
Source: /app/node2/item-22092 | Message ID: 92 | Time generated: 91.100000 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 92.817017 |End 
Source: /app/node2/item-22093 | Message ID: 93 | Time generated: 92.100000 | Time sentFromSrcR: 96.769847 | Time receivedFromSrcR: 96.950057 |End 
Source: /app/node2/item-22094 | Message ID: 94 | Time generated: 93.100000 | Time sentFromSrcR: 96.769847 | Time receivedFromSrcR: 97.046937 |End 
Source: /app/node2/item-22095 | Message ID: 95 | Time generated: 94.100000 | Time sentFromSrcR: 96.769847 | Time receivedFromSrcR: 97.129977 |End 
Source: /app/node2/item-22096 | Message ID: 96 | Time generated: 95.100000 | Time sentFromSrcR: 96.769847 | Time receivedFromSrcR: 97.226857 |End 
Source: /app/node2/item-22091 | Message ID: 91 | Time generated: 90.100000 | Time sentFromSrcR: 97.319847 | Time receivedFromSrcR: 97.347817 |End 
Source: /app/node2/item-22097 | Message ID: 97 | Time generated: 96.100000 | Time sentFromSrcR: 97.319847 | Time receivedFromSrcR: 97.458537 |End 
Source: /app/node2/item-22098 | Message ID: 98 | Time generated: 97.100000 | Time sentFromSrcR: 97.319847 | Time receivedFromSrcR: 97.472377 |End 
Source: /app/node2/item-22099 | Message ID: 99 | Time generated: 98.100000 | Time sentFromSrcR: 100.019847 | Time receivedFromSrcR: 100.158537 |End 
Source: /app/node2/item-22100 | Message ID: 100 | Time generated: 99.100000 | Time sentFromSrcR: 100.019847 | Time receivedFromSrcR: 100.255417 |End 
