1->100.000000 | 0->98.000000 => 11.500000
1->100.000000 | 0->97.000000 => 12.000000
1->100.000000 | 0->97.000000 => 12.000000
1->100.000000 | 0->97.000000 => 12.000000
1->100.000000 | 0->97.000000 => 12.000000
2->100.000000 | 1->98.000000 => 16.500000
2->100.000000 | 1->98.000000 => 17.000000
2->100.000000 | 1->98.000000 => 17.000000
2->100.000000 | 1->98.000000 => 17.000000
2->100.000000 | 1->98.000000 => 17.000000
3->100.000000 | 2->98.000000 => 22.000000
3->100.000000 | 2->98.000000 => 26.500000
3->100.000000 | 2->98.000000 => 27.000000
3->100.000000 | 2->98.000000 => 27.000000
3->99.000000 | 2->98.000000 => 27.000000
4->100.000000 | 3->97.000000 => 31.500000
4->100.000000 | 3->97.000000 => 32.000000
4->100.000000 | 3->97.000000 => 32.000000
4->100.000000 | 3->97.000000 => 32.000000
4->99.000000 | 3->97.000000 => 32.000000
1->98.000000 | 4->97.000000 => 41.500000
1->98.000000 | 4->97.000000 => 42.000000
1->98.000000 | 4->97.000000 => 42.000000
1->98.000000 | 4->97.000000 => 42.000000
1->98.000000 | 4->97.000000 => 42.000000
2->98.000000 | 1->97.000000 => 46.500000
2->98.000000 | 1->96.000000 => 47.000000
2->98.000000 | 1->96.000000 => 47.000000
2->98.000000 | 1->96.000000 => 47.000000
2->98.000000 | 1->96.000000 => 47.000000
0->97.000000 | 2->97.000000 => 51.500000
0->97.000000 | 2->97.000000 => 52.000000
0->97.000000 | 2->97.000000 => 52.000000
0->97.000000 | 2->97.000000 => 52.000000
0->97.000000 | 2->97.000000 => 52.000000
2->97.000000 | 0->96.000000 => 56.500000
2->97.000000 | 0->95.000000 => 57.000000
2->97.000000 | 0->95.000000 => 57.000000
2->97.000000 | 0->95.000000 => 57.000000
2->97.000000 | 0->95.000000 => 57.000000
3->97.000000 | 2->95.000000 => 61.500000
3->97.000000 | 2->95.000000 => 62.000000
3->97.000000 | 2->95.000000 => 62.000000
3->97.000000 | 2->95.000000 => 62.000000
3->97.000000 | 2->95.000000 => 62.000000
4->97.000000 | 3->95.000000 => 66.500000
4->97.000000 | 3->95.000000 => 67.000000
4->97.000000 | 3->95.000000 => 67.000000
4->97.000000 | 3->95.000000 => 67.000000
4->97.000000 | 3->95.000000 => 67.000000
1->96.000000 | 4->95.000000 => 71.500000
1->96.000000 | 4->95.000000 => 72.000000
1->96.000000 | 4->95.000000 => 72.000000
1->96.000000 | 4->95.000000 => 72.000000
1->96.000000 | 4->95.000000 => 72.000000
0->95.000000 | 1->95.000000 => 76.500000
0->95.000000 | 1->95.000000 => 77.000000
0->95.000000 | 1->94.000000 => 77.000000
0->95.000000 | 1->95.000000 => 77.000000
0->95.000000 | 1->95.000000 => 77.000000
1->95.000000 | 0->94.000000 => 81.500000
1->95.000000 | 0->94.000000 => 82.000000
2->95.000000 | 0->94.000000 => 82.000000
1->95.000000 | 0->94.000000 => 82.000000
1->95.000000 | 0->94.000000 => 82.000000
1->95.000000 | 2->95.000000 => 87.000000
2->95.000000 | 1->94.000000 => 91.500000
2->95.000000 | 1->91.000000 => 92.000000
2->95.000000 | 1->91.000000 => 92.000000
2->95.000000 | 1->91.000000 => 92.000000
2->95.000000 | 1->91.000000 => 92.000000
3->95.000000 | 2->94.000000 => 96.500000
3->95.000000 | 2->94.000000 => 97.000000
3->95.000000 | 2->94.000000 => 97.000000
3->95.000000 | 2->94.000000 => 97.000000
3->95.000000 | 2->94.000000 => 97.000000
4->95.000000 | 3->94.000000 => 106.500000
4->95.000000 | 3->94.000000 => 107.000000
4->95.000000 | 3->94.000000 => 107.000000
4->95.000000 | 3->94.000000 => 107.000000
4->95.000000 | 3->94.000000 => 112.000000
0->94.000000 | 4->94.000000 => 117.000000
4->95.000000 | 0->94.000000 => 122.000000
0->94.000000 | 4->94.000000 => 142.000000
4->95.000000 | 0->94.000000 => 147.000000
0->94.000000 | 4->94.000000 => 157.000000
4->95.000000 | 0->94.000000 => 162.000000
0->94.000000 | 4->94.000000 => 187.000000
4->95.000000 | 0->94.000000 => 192.000000
0->94.000000 | 4->94.000000 => 197.000000
