1->100.000000 | 0->98.000000 => 16.500000
1->100.000000 | 0->98.000000 => 16.500000
1->100.000000 | 0->98.000000 => 16.500000
1->100.000000 | 0->98.000000 => 17.000000
2->100.000000 | 1->98.000000 => 21.500000
1->99.000000 | 2->100.000000 => 26.500000
2->100.000000 | 1->98.000000 => 27.000000
2->100.000000 | 1->96.000000 => 31.500000
2->100.000000 | 1->97.000000 => 31.500000
2->100.000000 | 1->97.000000 => 31.500000
3->100.000000 | 2->98.000000 => 41.500000
3->100.000000 | 2->98.000000 => 41.500000
3->100.000000 | 2->98.000000 => 41.500000
3->100.000000 | 2->98.000000 => 42.000000
0->98.000000 | 3->98.000000 => 51.500000
0->98.000000 | 3->98.000000 => 51.500000
0->98.000000 | 3->98.000000 => 51.500000
0->98.000000 | 3->98.000000 => 52.000000
2->98.000000 | 0->97.000000 => 56.500000
2->98.000000 | 0->97.000000 => 56.500000
2->98.000000 | 0->97.000000 => 56.500000
2->98.000000 | 0->97.000000 => 57.000000
3->98.000000 | 2->97.000000 => 61.500000
3->98.000000 | 2->97.000000 => 61.500000
3->98.000000 | 2->97.000000 => 61.500000
3->98.000000 | 2->97.000000 => 62.000000
0->97.000000 | 3->97.000000 => 66.500000
0->97.000000 | 3->97.000000 => 66.500000
0->97.000000 | 3->97.000000 => 66.500000
0->97.000000 | 3->97.000000 => 67.000000
3->97.000000 | 0->96.000000 => 71.500000
3->97.000000 | 0->96.000000 => 71.500000
3->97.000000 | 0->96.000000 => 71.500000
3->97.000000 | 0->96.000000 => 72.000000
0->96.000000 | 3->95.000000 => 76.500000
0->96.000000 | 3->95.000000 => 76.500000
0->96.000000 | 3->95.000000 => 76.500000
0->96.000000 | 3->95.000000 => 77.000000
1->96.000000 | 0->94.000000 => 81.500000
1->96.000000 | 0->94.000000 => 81.500000
1->96.000000 | 0->94.000000 => 81.500000
1->96.000000 | 0->94.000000 => 82.000000
2->96.000000 | 1->95.000000 => 86.500000
2->96.000000 | 1->95.000000 => 86.500000
2->96.000000 | 1->95.000000 => 86.500000
2->96.000000 | 1->95.000000 => 87.000000
1->95.000000 | 2->95.000000 => 91.500000
1->95.000000 | 2->95.000000 => 92.000000
1->95.000000 | 2->95.000000 => 96.500000
1->95.000000 | 2->95.000000 => 96.500000
2->95.000000 | 1->94.000000 => 101.500000
2->95.000000 | 1->94.000000 => 101.500000
2->95.000000 | 1->94.000000 => 101.500000
2->95.000000 | 1->94.000000 => 102.000000
